study_variable,velocity,Fx_N,Fy_N,FR_N,Q_m3_s,mdot_kg_s,Re,outlet_speed_m_s,diameter
velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
velocity,0.3333333333333333,0.034906585039886584,0.0,0.034906585039886584,0.00010471975511965977,0.10471975511965977,6666.666666666666,0.3333333333333333,
velocity,0.6666666666666666,0.13962634015954634,0.0,0.13962634015954634,0.00020943951023931953,0.20943951023931953,13333.333333333332,0.6666666666666666,
velocity,1.0,0.3141592653589793,0.0,0.3141592653589793,0.0003141592653589793,0.3141592653589793,20000.0,1.0,
velocity,1.3333333333333333,0.5585053606381853,0.0,0.5585053606381853,0.00041887902047863906,0.41887902047863906,26666.666666666664,1.3333333333333333,
velocity,1.6666666666666665,0.8726646259971647,0.0,0.8726646259971647,0.0005235987755982988,0.5235987755982988,33333.33333333333,1.6666666666666665,
velocity,2.0,1.2566370614359172,0.0,1.2566370614359172,0.0006283185307179586,0.6283185307179586,40000.0,2.0,
velocity,2.333333333333333,1.7104226669544424,0.0,1.7104226669544424,0.0007330382858376183,0.7330382858376183,46666.666666666664,2.333333333333333,
velocity,2.6666666666666665,2.2340214425527414,0.0,2.2340214425527414,0.0008377580409572781,0.8377580409572781,53333.33333333333,2.6666666666666665,
velocity,3.0,2.827433388230814,0.0,2.827433388230814,0.0009424777960769379,0.9424777960769379,60000.0,3.0,
velocity,3.333333333333333,3.4906585039886586,0.0,3.4906585039886586,0.0010471975511965976,1.0471975511965976,66666.66666666666,3.333333333333333,
velocity,3.6666666666666665,4.223696789826277,0.0,4.223696789826277,0.0011519173063162574,1.1519173063162573,73333.33333333333,3.6666666666666665,
velocity,4.0,5.026548245743669,0.0,5.026548245743669,0.0012566370614359172,1.2566370614359172,80000.0,4.0,
velocity,4.333333333333333,5.899212871740832,0.0,5.899212871740832,0.0013613568165555768,1.3613568165555767,86666.66666666666,4.333333333333333,
